




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (5892)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
viral budding via host ESCRT complex (GO:0039702)	20	17	5.72	+	2.97	1.27E-03	3.10E-02
ribosomal small subunit assembly (GO:0000028)	19	16	5.44	+	2.94	1.90E-03	4.38E-02
mitochondrial cytochrome c oxidase assembly (GO:0033617)	22	18	6.29	+	2.86	1.68E-03	3.93E-02
respiratory chain complex IV assembly (GO:0008535)	26	21	7.44	+	2.82	6.24E-04	1.70E-02
maturation of 5.8S rRNA (GO:0000460)	35	28	10.01	+	2.80	9.63E-05	3.31E-03
viral budding (GO:0046755)	25	20	7.15	+	2.80	9.28E-04	2.36E-02
histone mRNA metabolic process (GO:0008334)	24	19	6.87	+	2.77	1.38E-03	3.32E-02
multivesicular body assembly (GO:0036258)	30	23	8.58	+	2.68	6.86E-04	1.83E-02
mitochondrial RNA metabolic process (GO:0000959)	41	31	11.73	+	2.64	8.66E-05	3.02E-03
maturation of LSU-rRNA (GO:0000470)	28	21	8.01	+	2.62	1.50E-03	3.57E-02
virion assembly (GO:0019068)	39	29	11.16	+	2.60	1.86E-04	5.97E-03
multivesicular body organization (GO:0036257)	31	23	8.87	+	2.59	8.27E-04	2.14E-02
viral transcription (GO:0019083)	116	86	33.19	+	2.59	1.22E-10	1.03E-08
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	71	27.46	+	2.59	5.51E-09	3.77E-07
cotranslational protein targeting to membrane (GO:0006613)	101	74	28.89	+	2.56	2.69E-09	1.91E-07
protein targeting to ER (GO:0045047)	112	82	32.04	+	2.56	5.38E-10	4.21E-08
termination of RNA polymerase II transcription (GO:0006369)	40	29	11.44	+	2.53	2.25E-04	7.14E-03
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	87	34.33	+	2.53	2.14E-10	1.74E-08
cytochrome complex assembly (GO:0017004)	36	26	10.30	+	2.52	5.82E-04	1.60E-02
cytoplasmic translation (GO:0002181)	122	88	34.90	+	2.52	1.73E-10	1.43E-08
translational initiation (GO:0006413)	143	103	40.91	+	2.52	4.67E-12	4.47E-10
transcription by RNA polymerase III (GO:0006383)	32	23	9.15	+	2.51	1.03E-03	2.58E-02
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	83	33.19	+	2.50	9.26E-10	7.03E-08
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	30	12.02	+	2.50	2.87E-04	8.86E-03
ribosomal large subunit biogenesis (GO:0042273)	72	51	20.60	+	2.48	1.85E-06	8.62E-05
mitochondrial translational elongation (GO:0070125)	88	62	25.18	+	2.46	1.72E-07	9.69E-06
mitochondrial gene expression (GO:0140053)	142	100	40.62	+	2.46	2.77E-11	2.48E-09
CENP-A containing nucleosome assembly (GO:0034080)	30	21	8.58	+	2.45	2.19E-03	4.94E-02
CENP-A containing chromatin organization (GO:0061641)	30	21	8.58	+	2.45	2.19E-03	4.93E-02
ribosome assembly (GO:0042255)	62	43	17.74	+	2.42	1.65E-05	6.48E-04
translational elongation (GO:0006414)	127	88	36.33	+	2.42	8.63E-10	6.62E-08
spliceosomal snRNP assembly (GO:0000387)	39	27	11.16	+	2.42	8.79E-04	2.24E-02
mitochondrial translation (GO:0032543)	112	77	32.04	+	2.40	1.06E-08	7.05E-07
mitochondrial translational termination (GO:0070126)	89	61	25.46	+	2.40	5.17E-07	2.71E-05
ribosomal small subunit biogenesis (GO:0042274)	73	50	20.88	+	2.39	5.52E-06	2.37E-04
rRNA processing (GO:0006364)	262	179	74.96	+	2.39	3.10E-18	5.27E-16
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	132	55.79	+	2.37	1.79E-13	1.91E-11
snRNA transcription (GO:0009301)	71	48	20.31	+	2.36	1.13E-05	4.54E-04
DNA replication-independent nucleosome organization (GO:0034724)	40	27	11.44	+	2.36	9.78E-04	2.46E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	33	14.02	+	2.35	2.58E-04	8.08E-03
rRNA metabolic process (GO:0016072)	272	183	77.82	+	2.35	3.89E-18	6.55E-16
snRNA transcription by RNA polymerase II (GO:0042795)	70	47	20.03	+	2.35	1.61E-05	6.35E-04
translational termination (GO:0006415)	97	65	27.75	+	2.34	3.17E-07	1.72E-05
viral gene expression (GO:0019080)	172	115	49.21	+	2.34	9.00E-12	8.47E-10
ER-nucleus signaling pathway (GO:0006984)	39	26	11.16	+	2.33	1.41E-03	3.38E-02
DNA replication-independent nucleosome assembly (GO:0006336)	39	26	11.16	+	2.33	1.41E-03	3.38E-02
ribosome biogenesis (GO:0042254)	329	218	94.12	+	2.32	8.47E-21	1.88E-18
ncRNA export from nucleus (GO:0097064)	38	25	10.87	+	2.30	2.02E-03	4.62E-02
protein localization to endoplasmic reticulum (GO:0070972)	143	94	40.91	+	2.30	1.37E-09	1.02E-07
ribonucleoprotein complex subunit organization (GO:0071826)	196	128	56.07	+	2.28	2.01E-12	1.96E-10
ribonucleoprotein complex biogenesis (GO:0022613)	462	301	132.17	+	2.28	2.54E-27	8.92E-25
ncRNA transcription (GO:0098781)	94	61	26.89	+	2.27	1.47E-06	7.10E-05
mRNA catabolic process (GO:0006402)	215	139	61.51	+	2.26	4.00E-13	4.14E-11
ribonucleoprotein complex assembly (GO:0022618)	189	122	54.07	+	2.26	1.35E-11	1.25E-09
translation (GO:0006412)	387	249	110.72	+	2.25	2.68E-22	6.41E-20
mRNA 3'-end processing (GO:0031124)	88	56	25.18	+	2.22	7.08E-06	3.01E-04
mitochondrial respiratory chain complex assembly (GO:0033108)	101	64	28.89	+	2.21	1.84E-06	8.62E-05
ncRNA processing (GO:0034470)	436	276	124.73	+	2.21	7.66E-24	2.20E-21
DNA-templated transcription, termination (GO:0006353)	79	50	22.60	+	2.21	2.61E-05	9.88E-04
ribonucleoprotein complex localization (GO:0071166)	127	80	36.33	+	2.20	8.59E-08	5.05E-06
intracellular transport of virus (GO:0075733)	54	34	15.45	+	2.20	4.66E-04	1.34E-02
RNA catabolic process (GO:0006401)	248	156	70.95	+	2.20	8.23E-14	9.09E-12
ribonucleoprotein complex export from nucleus (GO:0071426)	126	79	36.05	+	2.19	1.20E-07	6.83E-06
tRNA processing (GO:0008033)	134	84	38.34	+	2.19	4.69E-08	2.84E-06
protein targeting to membrane (GO:0006612)	182	114	52.07	+	2.19	2.21E-10	1.78E-08
spliceosomal complex assembly (GO:0000245)	56	35	16.02	+	2.18	5.36E-04	1.50E-02
peptide biosynthetic process (GO:0043043)	414	258	118.44	+	2.18	9.93E-22	2.31E-19
mRNA destabilization (GO:0061157)	90	56	25.75	+	2.17	1.33E-05	5.32E-04
tRNA metabolic process (GO:0006399)	190	118	54.36	+	2.17	1.95E-10	1.60E-08
amino acid activation (GO:0043038)	50	31	14.30	+	2.17	1.13E-03	2.81E-02
mRNA export from nucleus (GO:0006406)	110	68	31.47	+	2.16	1.83E-06	8.61E-05
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	68	31.47	+	2.16	1.83E-06	8.58E-05
RNA export from nucleus (GO:0006405)	124	76	35.48	+	2.14	5.13E-07	2.69E-05
tRNA aminoacylation (GO:0043039)	49	30	14.02	+	2.14	1.59E-03	3.73E-02
ncRNA metabolic process (GO:0034660)	521	318	149.05	+	2.13	2.58E-25	7.83E-23
nuclear export (GO:0051168)	166	101	47.49	+	2.13	7.79E-09	5.24E-07
mRNA splicing, via spliceosome (GO:0000398)	303	184	86.68	+	2.12	5.89E-15	7.44E-13
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	184	86.68	+	2.12	5.89E-15	7.39E-13
transport of virus (GO:0046794)	61	37	17.45	+	2.12	5.51E-04	1.54E-02
RNA destabilization (GO:0050779)	94	57	26.89	+	2.12	1.88E-05	7.28E-04
RNA splicing, via transesterification reactions (GO:0000375)	306	185	87.54	+	2.11	7.63E-15	9.21E-13
multi-organism localization (GO:1902579)	63	38	18.02	+	2.11	4.42E-04	1.28E-02
multi-organism transport (GO:0044766)	63	38	18.02	+	2.11	4.42E-04	1.28E-02
aerobic electron transport chain (GO:0019646)	88	53	25.18	+	2.11	3.86E-05	1.42E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	56	26.61	+	2.10	2.60E-05	9.88E-04
ATP synthesis coupled electron transport (GO:0042773)	93	56	26.61	+	2.10	2.60E-05	9.85E-04
maturation of SSU-rRNA (GO:0030490)	50	30	14.30	+	2.10	1.81E-03	4.20E-02
protein K48-linked ubiquitination (GO:0070936)	60	36	17.17	+	2.10	7.68E-04	2.02E-02
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	60	36	17.17	+	2.10	7.68E-04	2.02E-02
RNA 3'-end processing (GO:0031123)	142	85	40.62	+	2.09	2.04E-07	1.14E-05
ATP-dependent chromatin remodeling (GO:0043044)	77	46	22.03	+	2.09	1.25E-04	4.18E-03
regulation of ubiquitin-protein transferase activity (GO:0051438)	57	34	16.31	+	2.08	9.56E-04	2.42E-02
regulation of DNA-templated transcription, elongation (GO:0032784)	52	31	14.88	+	2.08	2.06E-03	4.69E-02
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	47	22.60	+	2.08	1.40E-04	4.63E-03
cellular protein complex disassembly (GO:0043624)	138	82	39.48	+	2.08	4.88E-07	2.58E-05
peptidyl-lysine methylation (GO:0018022)	86	51	24.60	+	2.07	7.38E-05	2.61E-03
